Quantity,Designator,Footprint,Value,Supplier Part,Ext Price,Links
20,"R2,R3,R4",R0805,100kΩ,C18222266,$1.60,https://www.jlcpcb.com/partdetail/C18222266
20,C8,C0402,100nF,C1581,$0.40,https://www.jlcpcb.com/partdetail/C1581
7,"USB1,USB2,USB3",USB-C-SMD_TYPE-C-6PIN-2MD-073,TYPE-C16PIN2MD(073),C2765186,$2.94,https://www.jlcpcb.com/partdetail/C2765186
20,R1,R0201,2.7kΩ,C509700,$4.20,https://www.jlcpcb.com/partdetail/C509700
7,D1,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,1N4007,C424499,$0.91,https://www.jlcpcb.com/partdetail/C424499
2,X1,HC-49S_L11.5-W4.7-P4.88,12MHz,C7471636,$0.28,https://www.jlcpcb.com/partdetail/C7471636
2,R5,R01005,47kΩ,C25792,$0.00,https://www.jlcpcb.com/partdetail/C25792
2,U1,SSOP-28_L9.9-W3.9-P0.635-LS6.0-BL-1,FE1.1S-BSOP28BCN,C6706491,$3.28,https://www.jlcpcb.com/partdetail/C6706491
18,"C1,C2,C3,C4,C5,C6,C7",C1206,10uF,C48543521,$11.70,https://www.jlcpcb.com/partdetail/C48543521
4,"USB4,USB5",USB-A-TH_USB-231-ARY,USB-231-ARY,C720525,$2.32,https://www.jlcpcb.com/partdetail/C720525
,Merchandise Total,,,,$38.86,
,Shipping Charge,,,,$10.87,
,Discount,,,,-$20,
,Order Total,,,,$29.73,($30 approx)
